band,start_time,end_time,duration,max_power,integrated_power,dominant_frequency,bandwidth,L,MLT,MLAT,Storm_Phase
Pc1,2015-03-19 02:06:32.748847,2015-03-19 03:33:08.391734,98.578125,12.826022291635288,769.6784679660095,0.19274052940244096,0.010144238389602156,2.32338,2.78509,2.33623,Recovery Phase
Pc1,2015-03-19 11:03:57.267221,2015-03-19 12:31:51.909446,129.84375,7.047801669707497,593.8990333762956,0.18483754512635378,0.0,2.32043,2.84868,8.29729,Recovery Phase
Pc1,2015-03-19 20:00:58.378486,2015-03-19 21:27:38.708274,112.65625,9.235244845547848,629.5440204626004,0.18640776699029127,0.008876560332871014,2.44053,2.64603,-8.3043,Recovery Phase
Pc1,2015-03-20 05:03:22.564053,2015-03-20 06:30:41.268225,93.015625,7.423431843618099,445.4918966265574,0.18276499244078617,0.010750881908281523,2.18118,3.13345,9.42531,Recovery Phase
Pc1,2015-03-20 14:00:04.077046,2015-03-20 15:25:06.625224,95.40625,6.319735129947949,379.33408659013617,0.18866688503111692,0.010481493612839815,2.29649,2.75496,1.32664,Recovery Phase
Pc1,2015-03-21 00:00:23.469301,2015-03-21 00:01:36.906598,73.4375,0.9639880548696589,65.11496957889491,0.17702127659574468,0.013617021276595753,1.61181,15.1343,2.17581,Recovery Phase
Pc1,2015-03-21 07:57:23.037589,2015-03-21 09:26:51.865689,115.84375,9.490828303413016,586.5873611324005,0.18127866199082815,0.008632317237658504,2.4856,2.64709,11.3129,Recovery Phase
Pc1,2015-03-21 16:54:39.468922,2015-03-21 18:19:31.594329,100.40625,6.8094270614671775,408.735220510953,0.18923124805477748,0.009959539371304088,2.34928,2.72574,-5.27231,Recovery Phase
Pc1,2015-03-22 01:55:07.382124,2015-03-22 03:21:42.397111,98.671875,12.564128238719576,753.9491706515332,0.19255740300870944,0.01013460015835313,2.27137,2.80985,2.64221,Onset
Pc1,2015-03-22 10:52:32.027487,2015-03-22 12:20:46.167650,125.421875,6.575475818806802,541.3212232883632,0.1833810888252149,0.0,2.28117,2.84709,9.33259,Recovery Phase
Pc1,2015-03-22 19:49:32.220907,2015-03-22 21:16:05.798373,112.359375,9.083481258202303,619.0248897726874,0.18690029203170627,0.008900013906271709,2.38052,2.66143,-7.62785,Quiet
Pc1,2015-03-23 04:51:46.942756,2015-03-23 06:19:17.082442,102.0625,9.744274976281055,584.785552275517,0.1861604409063074,0.019595835884874457,2.31538,2.76373,9.42588,Quiet
Pc1,2015-03-23 13:48:21.757549,2015-03-23 15:13:45.585121,102.390625,7.2477784141614725,435.0763049594101,0.1855638638791393,0.009766519151533648,2.24469,2.7489,2.45739,Quiet
Pc1,2015-03-24 07:45:57.151328,2015-03-24 09:15:25.789647,110.859375,8.767762621041411,541.6945882676237,0.1894291754756871,0.009020436927413666,2.44119,2.64832,12.0488,Quiet
Pc1,2015-03-24 16:43:11.509821,2015-03-24 18:08:04.274853,108.859375,9.387494602834325,563.6523995272119,0.18372326682933832,0.009186163341466935,2.28816,2.72893,-4.27893,Quiet
Pc1,2015-03-25 01:43:35.056905,2015-03-25 03:10:13.977043,98.75,11.449789110131285,687.1004633831816,0.19240506329113924,0.010126582278481011,2.21705,2.84323,2.92857,Quiet
Pc1,2015-03-25 10:40:59.380388,2015-03-25 12:09:28.893270,121.296875,5.940360347757688,488.5426528327729,0.18137318047146722,0.008244235475975775,2.4045,2.48704,8.92095,Quiet
Pc1,2015-03-25 19:38:03.173601,2015-03-25 21:04:30.187007,112.59375,8.870324005094496,596.5057224381083,0.18651124063280602,0.008881487649181258,2.31987,2.681,-6.93441,Quiet
Pc1,2015-03-26 04:40:22.089372,2015-03-26 06:07:45.149194,92.921875,7.134098129226024,428.13959401758177,0.18294938624516563,0.010761728602656784,2.26071,2.784,9.84312,Quiet
Pc1,2015-03-26 13:36:54.348190,2015-03-26 15:02:21.470698,106.484375,7.847853563250192,471.1887203223054,0.18782098312545853,0.009391049156272924,2.36966,2.39535,1.99555,Quiet
Pc1,2015-03-27 07:34:28.599472,2015-03-27 09:04:11.627878,118.9375,8.805252324529354,582.9039769599156,0.18497109826589594,0.0,2.39637,2.65412,12.7672,Quiet
Pc1,2015-03-27 16:31:45.452911,2015-03-27 17:56:37.482469,103.359375,7.366204051461671,442.17158073024814,0.18382464096749812,0.009674981103552527,2.41695,2.38177,-4.63308,Quiet
Pc1,2015-03-28 01:32:10.242162,2015-03-28 02:58:44.067290,93.234375,9.333088489434038,560.0942493598812,0.18233618233618235,0.010725657784481313,2.34336,2.49953,3.03807,Quiet
Pc1,2015-03-28 10:29:32.405301,2015-03-28 11:57:58.855744,114.890625,5.438478963265483,413.5058720833481,0.18278253773969808,0.0,2.36554,2.47786,9.91067,Quiet
Pc1,2015-03-28 19:26:40.554375,2015-03-28 20:53:03.239040,117.65625,9.434244234599479,645.3130934181061,0.18698539176626824,0.008499335989375828,2.44868,2.34741,-7.08105,Quiet
Pc1,2015-03-29 04:28:39.106369,2015-03-29 05:56:18.635321,99.546875,9.086037023329327,545.2881617451,0.190864856380474,0.010045518756867045,2.2075,2.80717,10.2384,Quiet
Pc1,2015-03-29 13:25:26.536607,2015-03-29 14:50:56.690764,105.765625,8.10847628288244,486.9022067850593,0.1890973555916679,0.009454867779583404,2.31988,2.37778,3.07153,Quiet
Pc1,2015-03-29 22:23:06.747592,2015-03-29 23:49:55.995037,112.15625,10.483907226747212,662.7313333197392,0.18723878517692952,0.008916132627472845,2.27455,2.60779,-3.4871,Quiet
Pc1,2015-03-30 07:22:58.940545,2015-03-30 08:52:46.077668,116.90625,8.310673848724893,548.5774221038162,0.18818497727880246,0.00855386260358193,2.35113,2.66284,13.4608,Quiet
Pc1,2015-03-30 16:20:19.027587,2015-03-30 17:45:13.589135,107.34375,9.795345323763339,588.0353785323164,0.18631732168850074,0.009315866084425029,2.35951,2.3703,-3.68572,Quiet
Pc1,2015-03-31 01:20:37.774650,2015-03-31 02:47:17.787839,98.1875,8.592685075786301,515.684662079295,0.1833227243793762,0.010184595798854224,2.29249,2.52116,3.32701,Quiet
Pc1,2015-03-31 10:17:48.656865,2015-03-31 11:46:45.591064,118.296875,5.0507245874058135,373.8708542328934,0.18597279091269317,0.008453308677849686,2.32874,2.47156,10.8845,Quiet
Pc1,2015-03-31 19:15:13.085195,2015-03-31 20:41:35.785625,114.15625,8.859802619934973,573.8936554868465,0.1839583903640843,0.0,2.39229,2.35196,-6.41093,Quiet
